run         lumi          event
163738       110       90221615
163738       128      104860133
161311       613      287047451
163270       240      150695237
163046        26       15525850
163300       200      108604118
161223         5        2877100
163255       536      352944652
163270        74       48296065
163286       185       64481335
163586        49       35635090
163586        51       36937962
163659       295      225346929
163660        52       33558474
163286       257      100121377
163338        12        5271329
162811       325      146139965
163270       335      209081417
163300        35       18941701
163338        87       42297081
163338        87       42019900
163302       156       78554811
163374       614      319391615
163376        93       45641186
163663       202      141335482
163668       135       84670506
163761         6        3203978
163587        15        9745305
163817       240      221856623
162828        10        3476958
163332       624      420976346
163758         3        1291068
163588       433      290521040
163758       329      243290966
163758       420      298902507
161217       664      556869731
161217       738      611756750
163270       719      426211253
163795        16       13508541
163583        38       28826301
163759        34       21667598
163761        10        5702834
163761        23       14485329
163761       154      100718211
163659       653      469790066
163289        84       35615498
163333        98       60038891
163333       101       61484682
163817       171      152724974
163046        83       50119753
163296       164       98411782
163385       120       63921852
163476       151      104362479
163817       663      617365643
163371        86       54343634
163659        53       41145072
163659        55       42349503
163659        57       43881923
163334       337      195131671
163402        67       36637218
163589        32       19691885
163662        24       17533890
163475       238      168475251
163588        11        5770225
163588       256      174719483
163738       298      243494047
163333        24       14168483
163796       126      121360488
163300       290      156006535
163588       113       76965666
163817       411      391482411
163817       344      326444970
163817       344      326832203
163387       250      135756253
163759        12        7327944
163759        13        7845015
163760        36       24689734
163332       609      411605734
163337       276      145409210
163340       252      127161264
163385       200      114244418
163661         7        4373799
160998       146       97224274
161312       437      178500207
162811        10        4098942
163297       166       96336380
163759        29       18646678
163657        77       63455824
163476       210      144358837
163589        58       37911648
163332       726      486991516
163480        55       33495391
163270       174      109331382
163337        13        6050878
161016        68       41491503
161223       154      107016477
163071        40       21513039
163071        40       21427831
163046        99       59524913
163235       312      158705877
163297        92       53447078
163374       584      305080810
163758       104       78052708
163332       596      404130861
163630       127       57295587
163659       341      259058513
161217       534      456537920
161312       659      260695452
163270       228      143212781
163334       220      128733685
163817       924      842602295
163588        20       12195101
163332       225      147193122
163340       319      160211325
163664        81       54455829
163796        48       46656599
163402       597      385718609
163270        28       17589526
163370       109       72780830
163402       371      244132787
163402       375      246587991
163475       190      133237009
162822        91       21271039
163332       792      528372347
163659       354      268479882
163233       136       74762524
163586        10        6390406
163589       101       70587257
163589       102       71092619
163589       119       84231726
163302       137       69344695
161311       107       54632425
163237        28       12600886
163255       799      509198572
163286       309      124996077
163817       946      861821702
163817       749      694027856
163817       754      698829350
163237       127       58012320
163255       461      306880089
163255       468      311289766
163371       317      186427928
163664       154      103875338
163761        53       34367969
163759       266      183255468
163817       225      208035618
163376       179       88277631
163235       121       62829826
163235       233      119171953
163270       805      472566172
163300       123       67417370
163297       187      108124923
163402       641      412093293
161217       153      140017290
163659        35       26858877
163659       193      148909984
161312       901      345705925
163374       676      349707233
163475        32       11768275
163817       363      344655310
163761        88       57651822
163588       394      265907464
163758       148      111165516
163300       591      307264838
163374       477      251830849
163385       395      230217871
163475       225      158737256
161310        81       50048202
163296       109       59676655
163296       585      365719584
163480       184      109898504
163765        33       20112101
163765        44       27114535
163270       910      528510263
163296       319      200737941
163297        35       20201376
163378       496      228796338
163286       373      154782713
163270       490      297569789
163340       431      214866796
163817       407      387434604
161222        35       24479484
163296       335      210838619
163738       204      167467190
163738       207      169902368
163385       356      207537824
163588       165      113245019
163376        86       41988765
162811       156       71359300
162811       159       73031814
163233       243      131676525
163663       190      132526012
161176        26       16846194
161311       354      173538797
161312       321      132725396
163758       209      157023600
163069       567      315056162
160939        19        9566959
163255       553      363334362
163339        87       45421829
161312       484      196060431
163255       123       86070193
163289       280      119809601
163738       262      214930612
163738       263      215611924
163069       575      319636507
163233       216      117772851
163289       216       93040378
163478        67       42580316
163659       309      235768842
163334       303      176052877
163339         9        4012112
163475        34       13065532
162822       168       59137558
163332       335      225266474
163337       170       90053718
163370       103       69260258
163402       349      229648436
163738       230      189143411
163337       344      180033271
163371       177      102686011
163817       427      406578370
163402       189      122338624
163588       207      141672950
163664       119       79394293
163664       122       81884769
163664       159      107116078
163817       572      533387725
163235       268      136782549
163235       268      137050990
163235       272      138663642
163374       635      329728116
163374       635      329578911
162909       111       52457377
163332       316      211514949
163369        13        7697920
163657        99       82131495
163657       101       83473044
163479        36       22283641
163255       262      180219124
163334       479      275311557
163338        77       37178124
163374       700      362450224
163337       181       95756404
163760       254      175556392
163763        30       18330842
160873        58       15371897
163069       222      108674496
163385       331      193176415
163385       331      192923388
163475        99       64698284
163584        21       15557904
163584        23       16983124
161217       600      508031400
162909       264      156289164
163286       248       95816581
163297       136       79164570
163796        99       96355754
163583       164      125336037
163765        72       44436595
161116         4        1872052
162909       228      132347666
163071         8        3942891
163297        41       23558765
163475       169      117405869
163663       244      169210309
163664        38       24658571
163760       136       95796885
163657        32       26194969
160940        77       39162529
163261        42       22163929
163761        71       46360445
163334       401      231893098
163374       537      281996473
163402       793      501341077
163402       344      226347433
163659       660      474615680
163759       294      204161161
163759       297      205950111
163402       412      270031514
163668       202      126729103
163761        49       31645097
163795        24       21365686
163664        22       14707747
163270       811      475898094
163270       669      399865667
163289       315      133953637
163588       290      197575680
163588       296      201204692
163759       181      118701331
163759       185      121647500
163476       143       98915965
163476       146      101274923
163482         3        1219992
163662        71       53460681
163481         3        1425339
163765       170      104136597
163302       112       56702711
163664        10        6077195
163763        60       37466135
163588       194      133027491
